insertion, 10, 0, 1,
insertion, 10, 1, 1,
insertion, 10, 2, 0,
insertion, 10, 3, 1,
insertion, 10, 4, 1,
insertion, 10, 5, 0,
insertion, 10, 6, 0,
insertion, 100, 0, 19,
insertion, 100, 1, 18,
insertion, 100, 2, 19,
insertion, 100, 3, 20,
insertion, 100, 4, 19,
insertion, 100, 5, 18,
insertion, 100, 6, 22,
insertion, 1000, 0, 1761,
insertion, 1000, 1, 1737,
insertion, 1000, 2, 1446,
insertion, 1000, 3, 1350,
insertion, 1000, 4, 1318,
insertion, 1000, 5, 1210,
insertion, 1000, 6, 1319,
insertion, 10000, 0, 130574,
insertion, 10000, 1, 130420,
insertion, 10000, 2, 137855,
insertion, 10000, 3, 119933,
insertion, 10000, 4, 123317,
insertion, 10000, 5, 125700,
insertion, 10000, 6, 129563,
bubble, 10, 0, 14,
bubble, 10, 1, 13,
bubble, 10, 2, 14,
bubble, 10, 3, 13,
